RANK,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
185,Jake Tsakalidis,PHX,23,67,29,38,1584.5,491,190,400,47.5,0,1,0.0,111,159,69.8,130,244,374,23,78,23,69,193,1172,6,0,30
186,Chris Mills,GSW,32,66,18,48,1235.5,489,178,427,41.7,48,127,37.8,85,107,79.4,51,139,190,72,56,31,13,120,901,0,0,-116
187,Monty Williams,ORL,30,68,36,32,1284.8,484,198,362,54.7,0,4,0.0,88,134,65.7,80,155,235,96,86,48,17,134,1019,3,0,-121
188,Eddy Curry,CHI,19,72,20,52,1150.8,483,189,377,50.1,0,0,0.0,105,160,65.6,111,161,272,25,69,16,53,173,985,4,0,-256
189,Speedy Claxton,PHI,24,67,36,31,1529.9,480,181,452,40.0,4,33,12.1,114,136,83.8,46,114,160,198,95,95,6,145,1177,0,0,-30
190,Troy Murphy,GSW,22,82,21,61,1450.4,480,178,423,42.1,3,9,33.3,121,156,77.6,99,223,322,70,84,36,21,217,1058,3,0,-196
191,Gary Trent,MIN,27,64,39,25,1141.4,478,193,381,50.7,0,2,0.0,92,144,63.9,104,166,270,60,58,21,27,160,978,3,0,-65
192,Greg Anthony,MIL,34,60,16,44,1513.0,474,183,475,38.5,48,163,29.4,60,91,65.9,22,110,132,282,94,77,5,114,1207,1,0,-271
193,Lindsey Hunter,LAL,31,82,58,24,1614.5,473,187,490,38.2,79,208,38.0,20,40,50.0,18,103,121,129,55,66,19,120,1012,0,0,143
194,Eric Williams,BOS,29,74,46,28,1749.9,472,144,385,37.4,24,86,27.9,160,219,73.1,58,163,221,109,95,77,8,179,1061,0,0,160
195,LaPhonso Ellis,MIA,32,66,26,40,1683.8,469,189,452,41.8,38,124,30.6,53,84,63.1,107,180,287,56,73,30,37,196,1025,0,0,-182
